Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_14_Right_14,VDD,Metal1,95.7665,62.0480,4.999916
PHY_EDGE_ROW_13_Right_13,VDD,Metal1,95.7665,55.5515,4.999799
PHY_EDGE_ROW_12_Right_12,VDD,Metal1,95.7665,54.2080,4.999799
PHY_EDGE_ROW_11_Right_11,VDD,Metal1,95.7665,47.7115,4.999565
PHY_EDGE_ROW_10_Right_10,VDD,Metal1,95.7665,46.3680,4.999565
PHY_EDGE_ROW_9_Right_9,VDD,Metal1,95.7665,39.8715,4.999929
PHY_EDGE_ROW_8_Right_8,VDD,Metal1,95.7665,38.5280,4.999929
PHY_EDGE_ROW_7_Right_7,VDD,Metal1,95.7665,32.0315,4.999960
PHY_EDGE_ROW_6_Right_6,VDD,Metal1,95.7665,30.6880,4.999960
PHY_EDGE_ROW_5_Right_5,VDD,Metal1,95.7665,24.1915,5.000000
PHY_EDGE_ROW_4_Right_4,VDD,Metal1,95.7665,22.8480,5.000000
PHY_EDGE_ROW_3_Right_3,VDD,Metal1,95.7665,16.3515,5.000000
PHY_EDGE_ROW_2_Right_2,VDD,Metal1,95.7665,15.0080,5.000000
PHY_EDGE_ROW_1_Right_1,VDD,Metal1,95.7665,8.5115,5.000000
PHY_EDGE_ROW_0_Right_0,VDD,Metal1,95.7665,7.1680,5.000000
_76_,VDD,Metal1,66.2465,63.3045,4.999916
_75_,VDD,Metal1,66.8065,55.4645,4.999799
_74_,VDD,Metal1,68.4865,31.9445,4.999960
_73_,VDD,Metal1,71.2865,38.6150,4.999929
_72_,VDD,Metal1,47.7665,30.7750,4.999963
_71_,VDD,Metal1,38.8065,38.6150,4.999942
_70_,VDD,Metal1,31.7530,55.4645,4.999800
_69_,VDD,Metal1,32.6465,62.1350,4.999921
_68_,VDD,Metal1,50.0065,62.1350,4.999919
_67_,VDD,Metal1,65.4030,54.4465,4.999799
_66_,VDD,Metal1,60.7500,62.1565,4.999916
_65_,VDD,Metal1,58.6800,54.4425,4.999799
_64_,VDD,Metal1,56.3600,55.3025,4.999799
_63_,VDD,Metal1,58.3465,46.4765,4.999565
_62_,VDD,Metal1,56.7575,31.7825,4.999962
_61_,VDD,Metal1,54.0900,46.6175,4.999565
_60_,VDD,Metal1,69.4230,39.6630,4.999929
_59_,VDD,Metal1,58.1200,39.6375,4.999938
_58_,VDD,Metal1,50.1460,38.8100,4.999939
_57_,VDD,Metal1,55.8930,38.6365,4.999939
_56_,VDD,Metal1,49.6100,46.6175,4.999565
_55_,VDD,Metal1,47.8300,31.7825,4.999963
_54_,VDD,Metal1,49.4200,39.5825,4.999939
_53_,VDD,Metal1,35.9800,39.5825,4.999942
_52_,VDD,Metal1,39.6430,39.6330,4.999942
_51_,VDD,Metal1,31.2200,47.4225,4.999676
_50_,VDD,Metal1,35.5700,46.4765,4.999659
_49_,VDD,Metal1,37.7735,63.1100,4.999921
_48_,VDD,Metal1,39.0700,47.3905,4.999568
_47_,VDD,Metal1,29.7800,63.1425,4.999921
_46_,VDD,Metal1,31.6500,69.9965,4.999992
_45_,VDD,Metal1,35.2965,70.0965,4.999992
_44_,VDD,Metal1,32.3400,63.1025,4.999921
_43_,VDD,Metal1,47.3425,63.0150,4.999919
_42_,VDD,Metal1,45.6300,55.4430,4.999799
_41_,VDD,Metal1,48.4500,55.4430,4.999799
_40_,VDD,Metal1,51.3400,55.3150,4.999799
_39_,VDD,Metal1,25.9400,63.1550,4.999921
_38_,VDD,Metal1,45.7400,31.7950,4.999963
_37_,VDD,Metal1,52.2600,31.7950,4.999963
_36_,VDD,Metal1,60.3000,38.7650,4.999938
_35_,VDD,Metal1,62.5400,39.6350,4.999938
_34_,VDD,Metal1,65.9000,62.2850,4.999916
